score	tpr	fpr	tp	tn	fp	fn
-56.0628	0.9741	0.7719	1769.0000	26.0000	88.0000	47.0000
-56.0197	0.9697	0.7632	1761.0000	27.0000	87.0000	55.0000
-55.9766	0.9598	0.7368	1743.0000	30.0000	84.0000	73.0000
-55.9335	0.9554	0.7193	1735.0000	32.0000	82.0000	81.0000
-55.8905	0.9493	0.6842	1724.0000	36.0000	78.0000	92.0000
-55.8474	0.9444	0.6754	1715.0000	37.0000	77.0000	101.0000
-55.8043	0.9345	0.6579	1697.0000	39.0000	75.0000	119.0000
-55.7612	0.9196	0.6140	1670.0000	44.0000	70.0000	146.0000
-55.7181	0.9064	0.5789	1646.0000	48.0000	66.0000	170.0000
-55.6750	0.8981	0.5526	1631.0000	51.0000	63.0000	185.0000
-55.6319	0.8860	0.5263	1609.0000	54.0000	60.0000	207.0000
-55.5889	0.8805	0.5000	1599.0000	57.0000	57.0000	217.0000
-55.5458	0.8700	0.4912	1580.0000	58.0000	56.0000	236.0000
-55.5027	0.8447	0.4737	1534.0000	60.0000	54.0000	282.0000
-55.4596	0.8331	0.4649	1513.0000	61.0000	53.0000	303.0000
-55.4165	0.8227	0.4474	1494.0000	63.0000	51.0000	322.0000
-55.3734	0.8111	0.4474	1473.0000	63.0000	51.0000	343.0000
-55.3304	0.8029	0.4123	1458.0000	67.0000	47.0000	358.0000
-55.2873	0.7847	0.3772	1425.0000	71.0000	43.0000	391.0000
-55.2442	0.7654	0.3772	1390.0000	71.0000	43.0000	426.0000
-55.2011	0.7417	0.3596	1347.0000	73.0000	41.0000	469.0000
-55.1580	0.7263	0.3333	1319.0000	76.0000	38.0000	497.0000
-55.1149	0.7093	0.3158	1288.0000	78.0000	36.0000	528.0000
-55.0718	0.6927	0.2982	1258.0000	80.0000	34.0000	558.0000
-55.0288	0.6707	0.2895	1218.0000	81.0000	33.0000	598.0000
-54.9857	0.6448	0.2807	1171.0000	82.0000	32.0000	645.0000
-54.9426	0.6344	0.2719	1152.0000	83.0000	31.0000	664.0000
-54.8995	0.6184	0.2544	1123.0000	85.0000	29.0000	693.0000
-54.8564	0.6013	0.2368	1092.0000	87.0000	27.0000	724.0000
-54.8133	0.5743	0.2193	1043.0000	89.0000	25.0000	773.0000
-54.7703	0.5396	0.1754	980.0000	94.0000	20.0000	836.0000
-54.7272	0.5116	0.1579	929.0000	96.0000	18.0000	887.0000
-54.6841	0.4769	0.1404	866.0000	98.0000	16.0000	950.0000
-54.6410	0.4565	0.1228	829.0000	100.0000	14.0000	987.0000
-54.5979	0.4268	0.1053	775.0000	102.0000	12.0000	1041.0000
-54.5548	0.3926	0.0877	713.0000	104.0000	10.0000	1103.0000
-54.5117	0.3700	0.0789	672.0000	105.0000	9.0000	1144.0000
-54.4687	0.3475	0.0702	631.0000	106.0000	8.0000	1185.0000
-54.4256	0.3376	0.0702	613.0000	106.0000	8.0000	1203.0000
-54.3825	0.3166	0.0702	575.0000	106.0000	8.0000	1241.0000
-54.3394	0.2985	0.0702	542.0000	106.0000	8.0000	1274.0000
-54.2963	0.2731	0.0702	496.0000	106.0000	8.0000	1320.0000
-54.2532	0.2494	0.0702	453.0000	106.0000	8.0000	1363.0000
-54.2102	0.2241	0.0614	407.0000	107.0000	7.0000	1409.0000
-54.1671	0.2219	0.0614	403.0000	107.0000	7.0000	1413.0000
-54.1240	0.2076	0.0526	377.0000	108.0000	6.0000	1439.0000
-54.0809	0.1933	0.0526	351.0000	108.0000	6.0000	1465.0000
-54.0378	0.1691	0.0351	307.0000	110.0000	4.0000	1509.0000
-53.9947	0.1399	0.0351	254.0000	110.0000	4.0000	1562.0000
-53.9517	0.1030	0.0263	187.0000	111.0000	3.0000	1629.0000
-53.9086	0.1030	0.0263	187.0000	111.0000	3.0000	1629.0000
-53.8655	0.0986	0.0263	179.0000	111.0000	3.0000	1637.0000
-53.8224	0.0837	0.0263	152.0000	111.0000	3.0000	1664.0000
-53.7793	0.0639	0.0175	116.0000	112.0000	2.0000	1700.0000
-53.7362	0.0474	0.0088	86.0000	113.0000	1.0000	1730.0000
-53.6931	0.0474	0.0088	86.0000	113.0000	1.0000	1730.0000
-53.6501	0.0474	0.0088	86.0000	113.0000	1.0000	1730.0000
-53.6070	0.0396	0.0088	72.0000	113.0000	1.0000	1744.0000
-53.5639	0.0297	0.0088	54.0000	113.0000	1.0000	1762.0000
-53.5208	0.0165	0.0000	30.0000	114.0000	0.0000	1786.0000
-53.4777	0.0165	0.0000	30.0000	114.0000	0.0000	1786.0000
-53.4346	0.0165	0.0000	30.0000	114.0000	0.0000	1786.0000
-53.3916	0.0165	0.0000	30.0000	114.0000	0.0000	1786.0000
-53.3485	0.0083	0.0000	15.0000	114.0000	0.0000	1801.0000
-53.3054	0.0000	0.0000	0.0000	114.0000	0.0000	1816.0000
-53.2623	0.0000	0.0000	0.0000	114.0000	0.0000	1816.0000
